X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;RATE
591686663;234096719;440880975;452021950;287032180;110695,38;139664713;952396;608,12 ;82893622;42165481;11256;46;14,65;74,99;0,69;1,42E-05;0,85;8,13;74,51;10,79;76,4;10,96;14,86;51,58;0,0237 ;12,18;18,71;2,9904 ;30,9;31,33;7,12;9,64;378,44;275,01;37,3;20,99;1,1738 ;0,1648 ;1
536638057;129108202;432901538;465898359;287111092;73993,98;70739699;573692;392,23 ;9072894;27308104;4215;58;2,56;85,6;-1,52;-6,15E-05;-1,53;4,38;80,67;0,08;86,82;23,39;44,39064103;23,23;0,0328 ;3,06;13,79;7,1131 ;15,18;-7,94;5,2;6,05;139,02;596,12;16,56;13,55;1,1835 ;0,0237 ;1
223994045;97871762;125464212;152358919;265343259;66197,33;71635126;4298516;316,64 ;34834804;24704084;17085,32605;45;18,07;65,21;-0,43;-1,60E-05;-0,48;4,14;56,01;11,02;68,02;20,17;18,31;38,79;0,1501 ;12,4;29,55;3,2028 ;47,02;-29,52;11,81;17,62;553,27;553,97;32,39;13,14;1,3751 ;0,1486 ;1
351579392;189771136;220421616;257066321;324935488;92668,98;94513071;748456;685,52 ;44785472;33331289;6959;45;13,35;66,74;0,82;2,80E-05;0,92;5,31;62,69;16,53;73,12;23,37;54,91;50,01;-0,0132 ;13,44;26,36;1,5393 ;36,77;19,14;9,71;13,68;178,96;192,07;23,24;14,79;1,3410 ;0,1401 ;1
765590345;505315829;640034523;392355804;584066715;248014,74;373234542;1648219;220,24 ;39957298;19914339;1695;45;6,02;44,08;1,89;2,96E-05;1,93;3,82;83,6;29,33;51,25;2,46;44,47;13,46;-0,0494 ;6,56;32,4;3,2442 ;95,13;3,57;2,59;5,34;66,74;47,41;11,69;4,86;0,9165 ;0,0617 ;1
309977234;185489665;238850858;185590492;272085171;107346,45;124386742;807597;180,07 ;38469403;26371999;2744;45;13,53;42,87;1,05;2,29E-05;1,19;6,25;77,05;16,85;59,87;42,63;27,61;27,68;0,0453 ;11,11;34,63;1,0340 ;67,02;13,83;9,17;15,1;72,98;69,3;28,92;13,42;1,0052 ;0,1640 ;1
2087473607;1010665853;1429521040;1193517297;1662717949;545549,2;893956310;5059158;374,91 ;224937660;154321495;17085,32605;45;11,51;60,24;1,38;2,56E-05;1,51;8,45;68,48;23,03;57,18;20,54;45,8;35,43;-0,0355 ;15,17;26,13;6,1429 ;74,9;10,55;7,72;13,49;399,87;388,39;28,54;13,14;1,0766 ;0,1827 ;1
936846869;407784419;639836517;653586034;1057481566;451133,3;283260835;21797529;318,23 ;171336020;134928731;16020;58;19,89;67,77;-0,52;-1,94E-05;-0,6;4,88;68,3;16,10244444;69,76;30,97;44,39064103;41,05;0,2437 ;12,41;48,15;1,1816 ;43,34;-34,28;15,14;22,37;335,92;379,77;66,9;18,32;1,1157 ;0,1456 ;1
139089646;54772494;73766925;95789814;120162334;62577,81;43299832;455731;159,16 ;4577897;16053863;7180;43;4,16;61,93;-0,8;-2,23E-05;-0,83;8,3;53,04;0,51;68,87;15,01;48,16;0,47;0,3841 ;0,15;44,99;1,0855 ;45,2;-21,88;11,89;18,08;39,42;190,23;7,74;18,38;1,4741 ;-0,0716 ;1
299835371;97995063;139510604;208662181;222537324;86455;91173190;1982498;283,85 ;41730627;28991789;2578;58;15,54;64,8;-0,11;-2,70E-06;-0,13;2,51;46,53;7,31;69,59;17,12;2,72;54,38;0,2629 ;16,54;28,83;1,0584 ;43,69;-156,41;9,83;14,97;143,49;133,21;53,1;17,41;1,7283 ;0,1957 ;1
810856608;437022427;569081863;624953557;566639501;160398,06;185903051;1423977;771,99 ;142897691;51879722;7955;42;18,18;73,87;0,73;2,23E-05;0,83;8,2;70,18;9,24;77,07;9,75;77,5;71,21;0,0916 ;16,33;19,78;0,7716 ;29,75;19,87;6,47;8,72;432,5;236,67;34,32;13,8;1,1448 ;0,1869 ;1
7254476523;3540379378;5955596210;4242837370;6869244628;1647128,43;3313858932;47745797;2677,09 ;388194906;296811684;2595;41;3,1;35,38;2,5;3,35E-05;2,42;3,59;72,93;38,11;38,32;21,83;55,61;1;0,1118 ;0,62;11,91;2,7597 ;160,93;2,17;2,12;5,42;60,21;60,59;9,67;2,92;1,0112 ;-0,0553 ;1
1021089433;608439459;788582607;559316467;700666218;138784,06;461772966;1317792;641,05 ;27910511;32284817;17085,32605;41;3,56;53,85;0,6;9,08E-06;0,61;3,75;77,23;27,84;54,78;28,71;56,62;11,35;0,1118 ;5,13;13,59;18,4932 ;82,56;10,25;3,22;5,85;293,79;407,78;10,92;5,53;0,9321 ;0,0446 ;1
105376305;36367510;56787444;84330491;115281736;23375,9;21045813;171023;377,97 ;5080376;5262229;1698;44;5,24;67,87;-0,32;-1,77E-05;-0,33;6,73;53,89;0,9;80,03;15,43;62,4;64,51;-1,4804 ;12,88;22,18;0,2134 ;24,96;-17,36;4,96;6,39;29,88;40,33;13,52;5,95;1,5489 ;0,1562 ;1
111956722;62674026;69805627;75589288;18265401;6191,89;36367434;48017;309,58 ;3134418;3094924;616;40;3,62;56,81;-4,05;-2,04E-05;-4,8;3,7;62,35;2,73;67,52;55,05;90,69;7,89;0,7963 ;2,56;5,53;0,3547 ;48,11;-4,83;2,82;4,17;23,19;31,94;30,21;23,63;1,1515 ;0,0093 ;1
527533425;163899033;210106240;390018690;723965745;148623,61;137514736;2853585;253,49 ;42154315;34937681;17085,32605;39;9,9;73,09;-1,19;-6,25E-05;-1,25;3,72;39,83;16,10244444;73,93;23,4;44,39064103;37,65;1,3186 ;9,82;28,17;5,7740 ;35,26;-4,84;6,81;9,37;787,5042169;791,9132971;26,04;6,93;1,9781 ;0,0873 ;1
251139533;79958408;129511943;209181812;114530253;31974,01;41957721;172656;268,22 ;20660589;13429115;5200;39;8,91;80,69;-1,42;-3,88E-05;-1,61;6,55;51,57;2,61;83,29;16,84;44,39064103;53,22;0,9533 ;8,89;12,73;0,6055 ;20,06;-10,43;5,35;6,42;126,95;114,31;28,11;16,24;1,6912 ;0,0948 ;1
759602357;402037104;541837340;580092712;636705592;174658,2;179509645;489916;804,94 ;50192157;44366296;1720;39;7,26;59,39;-0,08;-2,69E-06;-0,08;9,88;71,33;8,94;76,37;34,33;37,37;50,96;0,0050 ;12,04;22,99;0,4332 ;30,94;-123,94;5,9;7,85;38,91;46,73;15,81;9,47;1,1737 ;0,1482 ;1
265793970;72418867;129445227;229219365;201943561;70712,27;36574605;614311;298,73 ;25027320;25008281;1148;38;12,44;83,91;-3,18;-1,76E-04;-3,5;7,71;48,7;16,10244444;86,24;12,29;44,39064103;84,23;0,0689 ;11,59;26,6;0,3738 ;15,96;-4,19;9,77;11,31;223,27;297,66;18,27;16,52;1,8036 ;0,0934 ;1
3806208188;2834421824;3410947101;1383853475;6233531098;846020,19;2422354714;117955632;652,32 ;409048398;246167313;13052;48;11,78;33,88;0,78;2,01E-05;0,82;2,01;89,62;28,35;36,36;73,77139511;67,86;19,45;0,0076 ;12,38;22,23;4,7203 ;175,04;8,15;6,95;19,49;433,76;369,27;22,12;5,59;0,5362 ;0,2158 ;1
461319767;182823212;324575412;216737922;289721356;93002,18;244581845;1289002;337,28 ;12446342;7119037;682;38;3,38;45,5;2,73;3,23E-05;2,71;5,11;70,36;33,97;46,98;1,25;49,2;2,89;0,0203 ;1,53;20,16;14,5768 ;112,85;2,32;1,57;3,31;181,84;152,89;9,41;3,61;0,9752 ;0,0307 ;1
1230021105;760678567;846805058;713684460;1339637495;369511,67;516336646;14215298;284,42 ;105896368;80059078;11470;38;9,66;57,83;-0,62;-1,61E-05;-0,66;4;68,84;8,48;58,02;18,77;73,26;38,44;0,7416 ;16,14;30,04;2,0088 ;72,35;-12,61;6,51;11,22;278,67;297,82;30,42;8,45;0,9329 ;0,2380 ;1
240554489;94709981;101789858;137440770;226598859;70684,7;103113720;655663;192,03 ;2883199;3647373;261;37;2,68;54,23;-0,08;-1,70E-06;-0,08;5,2;42,31;24,35;57,13;20,79;97,24;17,16;0,0821 ;7,36;29,38;2,0433 ;75,02;-28,25;1,48;2,68;41,19;73,42;14,09;2,27;1,4908 ;0,1059 ;1
1544394852;795022144;990364220;723642664;3498396313;235764,49;820752189;9170499;1349,69 ;64217541;59028086;2016;37;6,3;37,05;-0,13;-5,58E-06;-0,13;0,26;64,13;7,65;46,86;17,48;99,27;28,74;1,1403 ;15,27;15,27;0,6835 ;113,42;-15,05;3,77;8,43;42,42;48,56;14,66;2,1;0,8352 ;0,3025 ;1
822731916;403401545;448901635;388377569;1112893163;130138,67;434354348;37667602;1303,15 ;48309227;35334999;9075;37;6,57;45,36;0,15;3,85E-06;0,16;3,56;54,56;10,16;47,21;0,73;3,2;18,37;0,0015 ;9,7;15,82;4,1258 ;111,84;31,47;4,49;9,8;239,9;253,34;13,79;4,58;1,0515 ;0,1723 ;1
985046976;364592602;599180804;676710806;1054040860;381677,94;308336169;15272248;199,89 ;150704265;103382201;5021,583641;36;17,15;67,98;-0,6;-2,04E-05;-0,68;5,46;60,83;6,53;68,7;17,32;20,92;47,42;0,1040 ;14,84;38,75;8,7593 ;45,56;-21,87;10,86;16,58;787,5042169;791,9132971;41,96;13,68;1,2333 ;0,2227 ;1
280943494;93168495;266066014;183424684;27053094;19948,87;97518811;2203168;500,98 ;9703562;9361020;2247;36;3,23;64,16;-0,076952381;8,98E-05;-0,155512079;7,39;94,7;27,95;65,29;21,01352224;97,39;3,3;-0,0452 ;1,14;7,1;0,5214 ;53,17;5,557428571;3,11;4,46;39,47;47,94;25,01319425;43,57;0,7376 ;-0,0743 ;1
943998266;512152933;649246308;606750428;1104072019;378958,82;337247837;32537578;251,90 ;165104577;121178635;17085,32605;36;19,6;63,56;-0,82;-2,70E-05;-0,96;6;68,78;3,77;64,27;22,87;17,07;46,32;0,2600 ;16,55;40,14;4,3546 ;55,58;-17,86;13,43;22,18;787,5042169;791,9132971;41,07;15,55;0,9801 ;0,2445 ;1
7254476523;3540379378;5955596210;4242837370;6869244628;2000146,521;3313858932;56310000;528,27 ;765361921,8;741884427,3;6355;36;9,3;43,4;0,29;2,34E-05;0,3;5,62;68,35;15,7;50,13;10,29;46,9;35,58;-0,0729 ;17,75;30,57;1,2051 ;99,48;26,58;7,13;14,76;108,79;134,34;22,55;7,53;1,0112 ;0,1925 ;1
313715471;59489068;155599382;195214866;1730078695;317444,17;118500605;22121303;2882,36 ;116150822;84709019;4030;35;11,35;54,01;1,6;2,33E-04;1,66;1,34;49,6;16,10244444;62,23;2,35;44,39064103;97,28;5,1837 ;36,75;101,19;0,5028 ;60,7;5,42;8,03;18,12;139,72;147,12;27,39;7,07;1,3441 ;0,5140 ;1
7254476523;3540379378;5955596210;4242837370;6869244628;2000146,521;3313858932;33662234;611,85 ;765361921,8;741884427,3;13442;35;10,76;68,17;2,06;3,35E-05;2,26;12,4;78,25;24,4;65,65;33,89;30,03;36,08;-0,0729 ;12,39;24,18;3,6885 ;52,32;7,07;6,32;10,24;380,07;303,78;22,14;12,49;1,0112 ;0,1925 ;1
593284945;281952140;472545203;387426581;533236884;78642,26;205858364;2085179;486,97 ;4316919;29148380;7238;35;1,68;64,08;1,2;3,11E-05;1,18;0,49;79,65;21,93;65,3;9,13;55,91;5,4;0,0990 ;1,87;13,26;2,6692 ;53,13;6,88;4,67;7,6;16,82;146,8;10,63;7,06;0,9648 ;0,0426 ;1
397674325;206739939;269344234;321719549;179116979;68824,9;75954776;1619060;163,43 ;10155465;11885543;605;35;3,56;78,61;-0,46;-1,08E-05;-0,46;14,18;67,73;13,89;80,9;13,65;97,65;29,5;0,3204 ;5,63;17,31;0,3705 ;23,61;-19,13;3,18;3,82;101,55;164,43;14,07;9,18;1,2082 ;0,0632 ;1
7254476523;3540379378;5955596210;4242837370;6869244628;2000146,521;3313858932;93270000;836,65 ;765361921,8;741884427,3;17085,32605;34;24,03;75,16;-0,37;-2,93E-05;-0,43;9,24;64,92;4,72;70,59;18,81;26,99;86,3;-0,0758 ;25,38;41,51;1,9239 ;41,67;-58,9;22,62;32,21;787,5042169;791,9132971;33,49;21,9;0,9996 ;0,1925 ;1
379914753;156012830;241130685;266832924;603899316;77104,42;113081829;1776485;1509,75 ;30955282;19834933;2122;34;8,57;59,16;0,24;1,30E-05;0,25;3,62;63,47;14,52;70,23;32,38;34,47;35,98;-0,1350 ;10,71;20,3;1,1152 ;42,38;20,68;5,03;7,5;64,7;60,55;11,67;4,8;1,3279 ;0,0977 ;1
358353227;126231437;190703526;120092297;681370842;122543,59;238260930;4505972;319,14 ;22862230;15621952;1207;34;7,56;32,72;0,73;2,07E-05;0,73;2,44;53,22;39,52;33,51;35,71;71,44;2,97;-0,1032 ;1,98;34,2;7,8476 ;198,4;5,38;4,78;13,66;341,23;322,76;29,67;3,17;0,9054 ;0,0248 ;1
311755998;82550447;232630715;122893183;232852378;60973,41;188862816;464533;388,74 ;16889161;14139200;3187;34;7,57;32,31;-1,37;-1,68E-05;-1,33;3,05;74,62;44,74;39,42;47,74;35,21;17,98;0,1663 ;10,89;19,56;4,7368 ;153,68;-5,11;4,3;10,33;76,15;87,62;20,75;8,35;0,9799 ;0,1621 ;1
2661892355;651644187;1360589122;1048668712;3174465313;505163,93;1613223643;2636071;1052,19 ;276064558;160713651;3225;34;11,07;30,33;-0,09;-1,76E-06;-0,1;0,53;51,11;12,98;39,4;13,41;43,69;19,57;-0,0420 ;11,86;18,98;1,9107 ;153,84;-80,18;6,06;16,6;108,26;96,12;14,88;7,72;1,1288 ;0,1791 ;1
4506009596;1398634962;2901545170;3201410244;4578727589;1503554,54;1304599352;57235454;621,43 ;506273372;586534456;12551;33;12,11;69,02;0,05;1,89E-06;0,06;6,62;64,39;8,42;71,05;14,51;4,3;57,48;0,5021 ;16,64;33,37;2,2442 ;40,75;290,57;13,54;19,26;210,57;296,83;22,22;15,59;1,2895 ;0,1837 ;1
144572752;10075885;47493866;97696166;113797217;29791,28;46876585;132674;187,78 ;9459500;12120951;1518;33;9,21;65,15;-2,97;-7,22E-05;-3,21;3,67;32,85;0,67;67,58;5,06;44,39064103;26,42;-1,6020 ;8,57;20,61;3,7826 ;47,98;-3,94;8,63;13,09;236,49;418;13,66;14,69;2,3756 ;0,1307 ;1
367806746;110127507;197840156;199136494;262188707;51636,82;168670252;558168;837,66 ;22638386;21623738;4438;33;8,89;53,31;-1,18;-1,83E-05;-1,18;3,61;53,79;29,99;54,14;19,43;95,38;21,62;0,7431 ;9,92;14,04;0,5157 ;84,7;-8,62;6,25;11,6;75,46;99,03;18,32;11,33;1,0848 ;0,2288 ;1
251914405;64642926;116862741;221124692;178257954;57144,19;30789714;85702;144,46 ;21269837;23574878;1161;32;11,21;86;-3,17;-1,84E-04;-3,53;3,22;46,39;1,82;87,78;17,54;95,18;71,53;-0,0927 ;8,74;22,68;0,3812 ;13,92;-4,53;9,78;11,17;184,81;271,83;19,23;17,55;1,9297 ;0,0778 ;1
409585774;70324521;150349261;351366190;268363072;97012,36;58219584;614056;263,62 ;26085480;30660814;647;31;9,96;81,73;-4,76;-2,19E-04;-5,04;9,1;36,71;16,10244444;85,79;8,14;44,39064103;154,94;18,2151 ;22,02;23,69;0,0301 ;16,57;-2,33;7,86;8,91;108,45;176,92;14,94;15,86;2,3419 ;0,1898 ;1
224245844;58703962;192269734;163817937;245138426;-2304,95;60427907;697062;1857,11 ;4768525;-10262875;-965;30;2,64;50,6;0,4;1,64E-05;0,38;0,55;85,74;8,82;73,05;27,2;50,91;1,2;-0,5859 ;0,32;-1,03;0,6215 ;36,89;-9,54;-3,94;-5,75;7,61;-16,63;9,82;-4,25;1,0545 ;0,0014 ;1
309923055;85158734;224410710;199080612;201246249;76711,46;110842443;417022;247,84 ;29056504;21901351;797;30;10,57;62,66;0,62;1,13E-05;0,7;4,36;72,41;19,35;64,24;16,26;16,69;13,41;-0,0239 ;4,8;24,75;3,9157 ;55,68;25,71;7,31;11,48;196,64;208,59;21,06;15,32;1,1450 ;0,0641 ;1
598274382;445985300;477716516;419507986;415664684;122325,39;178766396;15641788;223,36 ;16926866;6489529;166;30;3,28;37,93;2,04;4,74E-05;2,05;3,78;79,85;19,11;70,12;46,39;96,29;21,29;1,8197 ;6,36;20,45;0,0834 ;42,61;2,17;1,08;1,55;8,46;4,95;48,98;2,38;0,9131 ;0,1117 ;1
111478120;87914823;88185776;98800094;67197549;22288,83;12678026;94269;559,98 ;12657285;11335159;1556;30;11,95;55,44;-0,27;-1,45E-05;-0,33;5,18;79,11;16,10244444;88,63;14,56;44,39064103;87,55;0,1071 ;9,96;19,99;0,0507 ;12,83;-66,99;10,5;12;34,21;33,84;24,77;18,63;1,1416 ;0,0588 ;1
231680763;61618019;85275304;128560123;470761817;82662,15;103120639;2134106;386,19 ;35153383;22996108;1164;30;16,04;45,33;-0,13;-6,07E-06;-0,14;1,45;36,81;1,33;55,49;17,28;44,39064103;67,39;3,9043 ;30;35,68;0,4334 ;80,21;-53,17;9,93;17,89;149,37;143,96;29,24;7,2;1,6272 ;0,4669 ;1
166635156;2790138;97728395;121592820;68465692;15483,45;45042336;165235;622,42 ;10159957;7921821;2440;30;7,31;66,82;-1,01;-1,53E-05;-1,14;1,13;58,65;19,8;72,97;11,66;44,39064103;-2,12;-1,2680 ;-0,57;9,29;0,2999 ;37,04;-15,49;5,33;6,68;57,45;64,18;20,45;16,58;1,3001 ;0,0040 ;1
533923808;91087519;368266950;349910735;637109979;176952,54;184013074;1405226;968,25 ;77895620;72678484;11190;30;15,72;64,34;-0,4;-1,37E-05;-0,43;0,37;68,97;0,19;65,54;23,18;44,39064103;16,15;-0,2109 ;5,57;33,14;2,4116 ;52,59;-37,86;13,92;22,76;197,31;247,97;17,3;15,37;1,2087 ;-0,0626 ;1
153349066;20486037;52925844;95820247;201823720;46119,06;57528819;482988;349,18 ;19415323;17012777;7576;25;14,51;55,71;-0,68;-2,37E-05;-0,74;1,84;34,51;16,10244444;62,49;16,42;44,39064103;25,51;1,9513 ;9,57;30,07;0,6174 ;60,04;-16,74;11,88;19,24;168,54;210,02;23,99;11,99;1,9449 ;0,1760 ;1
743652023;278467039;288771524;634705995;640391302;330534,34;108946028;873;402,00 ;173417841;129549823;16047;29;25,98;79,92;-0,95;-5,61E-05;-1,25;11,52;38,83;16,10244444;85,35;14,09;44,39064103;130,15;3,5066 ;19,07;44,45;0,4581 ;17,16;-28,04;18,74;22,36;429,6;439,36;31,22;27,69;2,2620 ;0,3209 ;1
117588859;1254732;90434253;94362243;150909732;27483,71;23226616;724747;1571,98 ;6440699;13928015;435;29;5,08;76,49;0,38;2,50E-05;0,37;1,47;76,91;1,05;80,25;17,78;44,39064103;32,37;1,6893 ;6,39;23,37;0,2200 ;24,61;37,82;10,48;16,37;34,51;114,42;11,65;14,15;1,0926 ;-0,0401 ;1
226963618;57769942;144359618;181134790;433455965;37928,77;45828827;1740590;1249,15 ;19478093;17785469;432;29;9,68;74,87;0,17;1,63E-05;0,17;0,43;63,6;4,52;79,81;17,28;97,44;25,14;75,6744 ;5,08;16,71;0,0103 ;25,3;29,84;7,66;10,04;76,37;84,44;13,21;4,97;1,2566 ;-0,0403 ;1
1070091485;426095228;678768396;611804423;1026479629;192683,33;458287062;267774;1254,87 ;69737686;78847534;4187;29;8,27;48,36;-0,48;-1,09E-05;-0,48;5,78;63,43;25,37;57,17;17,31;36,22;24,03;0,0389 ;10,29;18,01;1,9066 ;74,91;-20,34;7,7;13,82;73,91;112,45;9,54;10,34;1,1664 ;0,1131 ;1
168972638;54155752;110487999;107911283;138597219;48693,65;61061355;297947;189,86 ;6303185;14203534;733;53;4,93;59,56;0,64;1,45E-05;0,64;7,12;65,39;18,37;63,86;8,11;47,06;15,14;0,1119 ;5,47;28,82;2,2967 ;56,58;22,75;9,02;14,35;59,18;180,69;12,5;13,89;1,1981 ;0,0099 ;1
4661010582;1995314408;2644453368;1413197451;6869244628;685898,53;3247813131;10549366;2882,36 ;105229036;187236313;2247;27;3,1;30,39;0,51;1,16E-05;0,5;2,24;56,74;43,96;30,32;24,64;71,58;12,03;0,2760 ;8,38;14,72;2,2724 ;229,82;7,71;3,91;13,41;37,02;89,31;5,45;3,43;0,7786 ;0,2750 ;1
231855238;108103420;135115406;140724084;261829416;68283,2;91131154;842879;580,55 ;25876873;16779662;9542;27;12,19;57,5;0,58;1,67E-05;0,63;7,33;58,28;14,15;60,69;24,35;52,48;36,7;0,3326 ;14,43;29,45;2,5681 ;64,76;15,74;7,63;12,65;278,46;241,79;19,28;8,58;1,2181 ;0,2081 ;1
254685070;114835661;160079094;134210405;320227743;51035,7;120474665;18093503;1334,28 ;20384423;14881549;4697;26;9,07;46,48;-0,34;-9,13E-06;-0,36;6,16;62,85;10,45;52,7;4,44;12,39;25,56;0,0008 ;12,09;20,04;2,1265 ;89,77;-18,39;6,06;11,58;128,69;134,62;18,17;6,66;1,0488 ;0,1655 ;1
427671116;231653730;314186983;289063459;432401989;235921,89;138607658;3966258;132,84 ;53053151;35337008;958;26;13,55;70,47;-0,76;-2,38E-05;-0,85;12,02;73,46;16,10244444;67,59;18,56;44,39064103;66,93;0,3366 ;21,69;55,16;1,9182 ;47,95;-14,45;8,5;12,2;279,23;268,58;39,4;11,8;1,0360 ;0,2402 ;1
678824312;416758774;435235848;456299109;1042419723;204594,82;222525202;302188;1993,15 ;90141893;73335163;1623;25;13,95;33,93;0,2;9,17E-06;0,21;4,93;64,12;10,62;67,22;19,06;45,2;40,84;1,1380 ;13,39;30,14;0,2335 ;48,77;51,98;10,75;16,09;39,89;46,03;10,58;9,98;1,1697 ;0,0554 ;1
313972056;222117419;230659378;206259957;345092144;55906,01;107712099;12049325;1358,63 ;31838250;21439610;1950;22;10,64;48,2;-0,32;-1,03E-05;-0,35;3,81;73,46;1,53;65,69;0,47;8,64;35,92;-1,8363 ;12,32;17,81;0,1938 ;52,22;-26,53;6,83;10,74;57,89;55,69;20,69;8,88;0,9404 ;0,1217 ;1
7254476523;3540379378;5955596210;4242837370;6869244628;2000146,521;3313858932;48003583;1255,39 ;765361921,8;741884427,3;4788;42;3,64;59,81;2,87;3,35E-05;2,99;7,37;95,39;23,05;65,71;2,62;19,81;17,68;-0,0729 ;6,06;13,81;0,7679 ;52,18;8,17;5,84;8,94;58,83;135,24;13,41;20,56;1,0112 ;0,1925 ;1
419117210;197121497;281510791;143749822;306203550;32899,88;275367389;1794995;799,49 ;16677219;6455560;2257;20;6,54;30,89;1,11;1,23E-05;1,1;3,72;67,17;41,45;34,3;12,2;18,44;7,22;0,0683 ;4,74;7,85;10,2047 ;191,56;3,9;1,7;4,49;116,62;68,95;18,35;3,22;1,0290 ;0,1526 ;1
275451123;59586912;137676189;174241634;487203701;131746,93;101209490;4236605;211,18 ;22260716;24149644;688;20;9,07;56,97;-0,33;-1,57E-05;-0,33;2,34;49,98;0,52;63,26;23,69;44,39064103;29,3;0,1677 ;10,77;47,83;0,9022 ;58,09;-19,98;8,85;16,55;124,56;186,33;69,71707933;6,83;1,3831 ;0,1018 ;1
492500300;244971072;312030381;173060556;789027864;68997,18;319439745;21082814;1431,99 ;23744138;19377882;3387;20;5,29;31,98;0,79;1,96E-05;0,8;2,73;63,36;31,73;35,14;47,28;38,06;16,52;0,2280 ;10,71;14,01;3,3483 ;184,58;5,39;3,5;10,2;67,84;78,57;13,61;3,49;0,9302 ;0,2766 ;1
7254476523;3540379378;5955596210;4242837370;6869244628;2000146,521;3313858932;267935486,5;2108,44 ;765361921,8;741884427,3;17085,32605;19;23,39;60,41;2,99;3,35E-05;3,84;18,41751676;78,96;35,02;43,53;0,4;34,59;44,56;-0,0729 ;25,16;38,54;39,9166 ;129,75;9,45;12,95;26,94;787,5042169;791,9132971;69,71707933;25,25;1,0112 ;0,1925 ;1
